,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D
285,2025-03-15,Bournemouth,Brentford,1,2,A,1,1,D,1.73,4.2,4.2
286,2025-03-16,Arsenal,Chelsea,1,0,H,1,0,H,1.8,4.5,3.6
287,2025-03-16,Fulham,Tottenham,2,0,H,0,0,D,2.0,3.6,3.75
288,2025-03-16,Leicester,Man United,0,3,A,0,1,A,4.5,1.83,3.5
289,2025-04-01,Arsenal,Fulham,2,1,H,1,0,H,1.48,7.0,4.33
290,2025-04-01,Wolves,West Ham,1,0,H,1,0,H,2.5,2.9,3.2
291,2025-04-01,Nott'm Forest,Man United,1,0,H,1,0,H,2.3,3.1,3.4
292,2025-04-02,Bournemouth,Ipswich,1,2,A,0,1,A,1.36,7.5,5.25
293,2025-04-02,Brighton,Aston Villa,0,3,A,0,0,D,2.05,3.25,3.8
294,2025-04-02,Man City,Leicester,2,0,H,2,0,H,1.2,10.0,8.0
295,2025-04-02,Newcastle,Brentford,2,1,H,1,0,H,1.73,4.0,4.5
296,2025-04-02,Southampton,Crystal Palace,1,1,D,1,0,H,5.75,1.62,3.8
297,2025-04-02,Liverpool,Everton,1,0,H,0,0,D,1.36,8.0,5.0
298,2025-04-03,Chelsea,Tottenham,1,0,H,0,0,D,1.65,4.5,4.5
299,2025-04-05,Everton,Arsenal,1,1,D,0,1,A,5.25,1.75,3.25
300,2025-04-05,Crystal Palace,Brighton,2,1,H,1,1,D,2.35,2.8,3.6
301,2025-04-05,Ipswich,Wolves,1,2,A,1,0,H,2.7,2.63,3.25
302,2025-04-05,West Ham,Bournemouth,2,2,D,0,1,A,3.0,2.3,3.5
303,2025-04-05,Aston Villa,Nott'm Forest,2,1,H,2,0,H,1.95,3.7,3.6
304,2025-04-06,Brentford,Chelsea,0,0,D,0,0,D,3.2,2.15,3.6
305,2025-04-06,Fulham,Liverpool,3,2,H,3,1,H,4.5,1.83,3.5
306,2025-04-06,Tottenham,Southampton,3,1,H,2,0,H,1.38,6.5,5.5
307,2025-04-06,Man United,Man City,0,0,D,0,0,D,3.4,2.1,3.6
308,2025-04-07,Leicester,Newcastle,0,3,A,0,3,A,6.5,1.48,4.2
309,2025-04-12,Man City,Crystal Palace,5,2,H,2,2,D,1.5,5.75,4.75
