,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
82,19/10/2024,Cercle Brugge,Dender,0,0,D,0.0,0.0,D,1.75,4.1,3.7,11,13,17,15,8.0,7.0,9.0,8.0,8,12,D,D,W,L,L,L,L,W,L,L,10
83,19/10/2024,St. Gilloise,Gent,0,0,D,0.0,0.0,D,1.62,4.75,3.8,10,17,7,9,4.0,10.0,3.0,3.0,13,16,W,W,D,L,L,W,D,W,D,D,10
84,20/10/2024,Genk,St Truiden,3,2,H,3.0,1.0,H,1.38,7.0,4.5,20,12,11,17,7.0,5.0,6.0,8.0,22,10,W,D,W,W,W,W,W,D,W,D,10
85,20/10/2024,Oud-Heverlee Leuven,Antwerp,1,1,D,0.0,1.0,A,2.9,2.2,3.4,10,18,10,7,6.0,,6.0,,11,16,L,W,D,W,L,W,W,D,D,L,10
86,20/10/2024,Standard,Charleroi,2,1,H,2.0,0.0,H,2.9,2.25,3.2,5,12,5,9,1.0,8.0,2.0,4.0,12,14,L,D,D,D,W,W,L,L,W,W,10
87,20/10/2024,Mechelen,Kortrijk,3,0,H,1.0,0.0,H,1.73,4.1,3.9,13,6,14,15,6.0,2.0,8.0,7.0,11,8,L,L,W,D,L,L,W,D,W,L,10
88,25/10/2024,Kortrijk,Beerschot VA,1,0,H,0.0,0.0,D,1.85,4.1,3.5,6,6,15,25,2.0,,7.0,,8,1,L,L,D,L,L,L,D,L,L,L,10
89,26/10/2024,Charleroi,Oud-Heverlee Leuven,0,2,A,0.0,2.0,A,,,,12,10,9,10,8.0,6.0,4.0,6.0,14,11,D,L,D,D,W,L,L,W,W,D,10
90,26/10/2024,Dender,Mechelen,2,5,A,0.0,0.0,D,2.7,2.45,3.4,14,18,15,14,8.0,8.0,8.0,8.0,15,14,W,W,D,L,L,W,L,L,W,W,11
91,26/10/2024,St Truiden,Westerlo,2,0,H,1.0,0.0,H,2.7,2.45,3.5,13,20,18,18,5.0,11.0,9.0,8.0,11,15,D,D,D,W,W,L,W,D,D,L,11
92,27/10/2024,Club Brugge,Anderlecht,2,1,H,1.0,0.0,H,1.62,4.75,4.2,16,13,12,8,6.0,8.0,3.0,5.0,15,17,D,W,D,D,L,D,W,L,W,D,11
93,27/10/2024,Antwerp,Standard,3,0,H,1.0,0.0,H,1.55,5.5,4.2,21,5,7,8,,1.0,,4.0,19,12,W,L,W,L,W,D,W,W,D,L,11
94,27/10/2024,Gent,Genk,0,2,A,0.0,0.0,D,3.1,2.15,3.6,18,21,10,13,11.0,8.0,3.0,8.0,17,22,D,L,W,W,L,W,W,W,W,W,11
95,27/10/2024,St. Gilloise,Cercle Brugge,1,3,A,1.0,0.0,H,1.47,5.5,4.5,11,11,8,20,4.0,8.0,3.0,11.0,14,8,D,L,W,D,D,W,L,L,D,L,11
96,01/11/2024,Westerlo,Dender,2,0,H,1.0,0.0,H,1.83,3.8,3.9,20,14,18,15,11.0,8.0,8.0,8.0,15,15,D,W,W,D,L,L,D,L,L,W,11
97,02/11/2024,Standard,St Truiden,2,1,H,2.0,0.0,H,2.2,3.3,3.2,5,13,8,18,1.0,5.0,4.0,9.0,12,11,L,D,L,D,D,W,W,W,L,D,11
98,02/11/2024,Oud-Heverlee Leuven,Club Brugge,0,1,A,0.0,0.0,D,4.0,1.85,3.6,10,16,15,12,6.0,6.0,8.0,3.0,11,15,L,D,L,D,D,L,L,W,W,W,11
99,02/11/2024,Mechelen,St. Gilloise,1,1,D,0.0,1.0,A,3.6,1.91,3.75,21,11,14,8,9.0,4.0,8.0,3.0,17,15,W,D,W,D,L,W,W,D,L,L,12
100,03/11/2024,Genk,Antwerp,2,0,H,1.0,0.0,H,1.95,3.6,3.75,24,22,15,8,11.0,,9.0,,25,20,W,D,L,W,W,W,W,W,W,W,12
101,03/11/2024,Cercle Brugge,Charleroi,2,0,H,0.0,0.0,D,2.4,2.8,3.4,11,13,20,12,8.0,8.0,11.0,7.0,9,14,D,L,L,L,D,D,W,D,L,W,12
102,03/11/2024,Anderlecht,Kortrijk,4,0,H,1.0,0.0,H,1.45,5.5,5.0,14,8,10,19,8.0,4.0,6.0,9.0,17,11,L,L,W,W,D,L,D,D,L,L,12
103,03/11/2024,Beerschot VA,Gent,0,0,D,0.0,0.0,D,4.0,1.8,4.0,10,18,28,10,,11.0,,3.0,5,18,W,D,D,D,L,W,L,L,L,W,12
104,08/11/2024,St Truiden,Mechelen,2,1,H,1.0,0.0,H,2.45,2.75,3.4,15,21,21,14,6.0,9.0,12.0,8.0,11,17,L,W,D,W,D,L,W,W,W,L,12
105,09/11/2024,Kortrijk,Antwerp,1,2,A,0.0,1.0,A,3.9,1.9,3.6,8,22,19,8,4.0,,9.0,,11,20,L,D,W,W,L,W,D,W,L,W,12
106,09/11/2024,Dender,Oud-Heverlee Leuven,1,1,D,1.0,1.0,D,2.9,2.35,3.4,14,11,15,16,8.0,6.0,8.0,9.0,16,12,D,D,W,L,D,L,L,D,L,L,12
107,09/11/2024,Charleroi,Westerlo,1,0,H,0.0,0.0,D,2.15,3.2,3.4,13,21,12,20,8.0,12.0,7.0,10.0,14,15,L,L,L,D,D,W,D,L,W,D,12
108,10/11/2024,Cercle Brugge,Anderlecht,0,5,A,0.0,1.0,A,2.7,2.45,3.6,14,15,21,12,8.0,8.0,12.0,7.0,12,17,W,L,D,L,L,W,D,D,W,D,13
109,10/11/2024,Gent,Standard,5,0,H,2.0,0.0,H,1.73,4.5,3.7,18,7,12,12,11.0,3.0,3.0,5.0,18,15,L,L,D,W,D,L,W,L,L,D,13
110,10/11/2024,St. Gilloise,Genk,4,0,H,2.0,0.0,H,2.45,2.75,3.4,12,26,11,15,5.0,11.0,3.0,9.0,15,28,L,W,D,W,D,L,W,W,D,W,13
111,10/11/2024,Beerschot VA,Club Brugge,2,2,D,0.0,2.0,A,7.5,1.29,6.5,10,20,29,14,,9.0,,4.0,5,21,L,W,W,W,D,D,L,D,L,L,13
112,22/11/2024,Antwerp,Dender,1,1,D,0.0,1.0,A,1.48,6.0,4.5,25,16,8,20,,8.0,,8.0,23,16,W,L,D,D,W,W,W,D,W,L,13
113,23/11/2024,Club Brugge,St Truiden,7,0,H,3.0,0.0,H,1.36,8.0,5.25,20,17,14,21,9.0,7.0,4.0,12.0,21,14,W,W,W,L,D,D,D,D,L,W,13
114,23/11/2024,Standard,Cercle Brugge,1,0,H,0.0,0.0,D,2.45,2.7,3.3,7,14,12,21,3.0,8.0,5.0,12.0,15,12,L,W,W,D,L,L,L,D,D,W,13
115,23/11/2024,Genk,Charleroi,3,0,H,0.0,0.0,D,1.53,5.75,4.1,26,13,15,14,11.0,8.0,9.0,9.0,28,14,W,L,W,L,L,L,W,D,W,D,13
116,24/11/2024,Mechelen,Beerschot VA,3,0,H,1.0,0.0,H,1.42,6.0,5.0,26,10,16,29,9.0,,8.0,,20,5,W,L,W,W,W,D,L,L,W,L,13
117,24/11/2024,Oud-Heverlee Leuven,St. Gilloise,1,1,D,1.0,1.0,D,4.0,1.9,3.4,13,13,17,12,8.0,6.0,9.0,3.0,15,16,L,D,W,L,D,D,L,D,L,W,14
118,24/11/2024,Anderlecht,Gent,6,0,H,3.0,0.0,H,1.91,3.75,3.5,19,18,12,12,9.0,11.0,7.0,3.0,20,19,W,D,L,L,L,D,W,D,D,W,14
119,24/11/2024,Westerlo,Kortrijk,4,0,H,0.0,0.0,D,1.67,4.5,3.75,23,9,22,23,13.0,4.0,11.0,10.0,18,14,W,L,L,W,L,L,D,W,W,L,14
120,29/11/2024,Kortrijk,Mechelen,3,1,H,2.0,0.0,H,3.4,2.05,3.6,9,27,23,17,4.0,9.0,10.0,9.0,14,21,L,D,W,W,L,W,W,W,L,L,14
121,30/11/2024,Club Brugge,Dender,4,1,H,2.0,1.0,H,1.25,8.0,7.0,21,16,14,22,9.0,8.0,4.0,9.0,24,16,W,L,W,L,W,D,D,W,D,D,14
122,30/11/2024,Charleroi,Standard,1,1,D,0.0,1.0,A,1.95,3.9,3.4,13,9,16,13,8.0,5.0,9.0,5.0,14,18,L,W,L,L,L,W,L,L,D,L,14
123,01/12/2024,St Truiden,Genk,2,2,D,0.0,1.0,A,4.5,1.73,4.0,18,28,23,15,7.0,12.0,14.0,9.0,14,31,L,W,W,W,L,W,D,L,D,W,14
124,01/12/2024,Beerschot VA,Cercle Brugge,3,2,H,0.0,2.0,A,3.9,1.9,3.5,10,16,29,21,,8.0,,12.0,6,15,D,W,L,W,W,D,D,L,L,D,14
125,01/12/2024,Oud-Heverlee Leuven,Anderlecht,0,0,D,0.0,0.0,D,3.1,2.2,3.4,13,19,17,12,8.0,9.0,9.0,7.0,15,20,L,W,W,L,D,L,L,W,L,D,14
126,01/12/2024,St. Gilloise,Antwerp,2,1,H,1.0,1.0,D,1.8,4.1,3.6,17,27,12,11,8.0,,3.0,,19,26,W,W,D,L,L,W,D,D,D,W,15
127,01/12/2024,Westerlo,Gent,2,2,D,1.0,1.0,D,2.2,2.9,3.75,23,23,23,12,13.0,13.0,11.0,3.0,18,22,L,W,W,D,L,L,L,D,D,D,15
128,07/12/2024,Genk,Kortrijk,3,2,H,1.0,1.0,D,1.36,7.5,5.25,28,10,19,25,12.0,4.0,11.0,11.0,31,14,L,L,W,L,W,W,W,L,L,W,15
129,07/12/2024,Mechelen,Club Brugge,1,2,A,0.0,1.0,A,4.75,1.67,4.1,28,23,19,16,9.0,11.0,10.0,4.0,21,25,L,D,D,W,W,W,W,W,W,D,15
130,07/12/2024,Standard,Oud-Heverlee Leuven,1,1,D,1.0,0.0,H,2.63,2.75,3.1,9,14,18,18,5.0,9.0,7.0,10.0,18,16,L,D,W,L,L,W,W,D,L,L,15
131,07/12/2024,Gent,St Truiden,2,0,H,1.0,0.0,H,1.8,4.0,3.8,23,20,12,24,13.0,8.0,3.0,14.0,22,17,W,W,D,L,L,W,D,L,D,D,15
132,08/12/2024,Antwerp,Charleroi,1,3,A,0.0,1.0,A,1.91,3.75,3.6,27,14,11,16,,8.0,,9.0,26,17,W,W,L,L,W,L,D,L,W,L,15
133,08/12/2024,Cercle Brugge,St. Gilloise,0,0,D,0.0,0.0,D,3.9,1.9,3.6,16,17,26,12,8.0,8.0,13.0,3.0,15,19,L,W,W,D,W,L,D,D,L,D,15
