,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
72,25/10/2024,Santa Clara,Gil Vicente,2,1,H,2,1,H,2.1,3.9,3.1,11,10,9,12,4,6,6,6,15,10,L,W,W,L,W,D,L,D,W,D,9
73,26/10/2024,Estoril,Arouca,4,1,H,2,1,H,3.0,2.4,3.2,4,4,11,13,2,4,5,5,6,7,L,D,L,L,D,W,W,L,D,L,9
74,26/10/2024,Boavista,Moreirense,0,2,A,0,1,A,3.4,2.25,3.1,5,10,10,11,2,4,7,4,6,11,D,W,L,L,L,D,D,L,D,D,9
75,26/10/2024,Famalicao,Sp Lisbon,0,3,A,0,0,D,7.0,1.36,5.5,9,27,4,2,5,12,1,1,13,24,D,W,D,W,D,W,D,W,L,W,9
76,27/10/2024,Sp Braga,Farense,2,0,H,1,0,H,1.33,7.0,6.0,13,3,6,13,4,0,1,6,14,4,L,W,W,D,W,L,L,L,D,L,9
77,27/10/2024,Benfica,Rio Ave,5,0,H,3,0,H,1.17,13.0,7.5,22,6,5,13,10,3,3,6,19,8,W,D,W,L,W,D,W,L,D,W,9
78,27/10/2024,Estrela,Guimaraes,2,2,D,1,1,D,4.75,1.8,3.4,5,9,13,8,3,4,6,2,5,14,L,D,W,D,L,L,D,W,L,W,9
79,28/10/2024,AVS,Porto,0,5,A,0,4,A,9.0,1.3,5.5,7,18,11,4,3,6,7,0,9,21,D,W,D,W,L,W,W,W,L,L,9
80,01/11/2024,Sp Lisbon,Estrela,5,1,H,3,1,H,1.08,19.0,11.0,27,5,2,13,12,3,1,6,24,5,W,L,W,W,W,L,W,D,W,L,9
81,02/11/2024,Rio Ave,Casa Pia,2,2,D,2,2,D,2.2,3.3,3.25,6,7,18,11,3,2,9,3,8,11,L,W,D,L,L,D,D,D,L,W,10
82,02/11/2024,Farense,Benfica,1,2,A,1,1,D,11.0,1.22,6.5,3,24,15,6,0,11,7,4,4,22,L,W,W,W,D,W,L,W,L,W,10
83,02/11/2024,Gil Vicente,Boavista,1,2,A,0,0,D,1.67,5.5,3.6,11,5,14,12,7,2,8,8,10,6,L,L,W,D,L,L,D,L,D,D,10
84,03/11/2024,AVS,Famalicao,2,3,A,2,2,D,3.1,2.45,3.0,7,9,16,7,3,5,11,1,9,13,L,L,D,D,D,D,L,D,W,D,10
85,03/11/2024,Arouca,Sp Braga,1,2,A,0,1,A,4.33,1.73,3.9,5,15,17,6,5,5,7,1,7,17,L,W,D,L,L,W,W,W,L,L,10
86,03/11/2024,Guimaraes,Moreirense,1,0,H,0,0,D,1.7,5.25,3.6,11,12,10,11,5,5,3,4,15,14,D,W,D,W,D,L,L,D,W,L,10
87,03/11/2024,Porto,Estoril,4,0,H,2,0,H,1.14,15.0,8.0,23,8,4,12,10,4,0,6,24,9,W,W,W,L,W,L,W,D,W,W,10
88,04/11/2024,Nacional,Santa Clara,2,0,H,2,0,H,3.3,2.25,3.1,6,13,13,10,5,6,5,7,8,18,W,W,L,L,D,W,L,W,L,L,10
89,08/11/2024,Moreirense,Gil Vicente,3,2,H,0,1,A,2.3,3.4,3.0,12,11,11,14,5,7,4,8,14,10,W,L,W,W,L,L,D,D,L,D,10
90,09/11/2024,Casa Pia,Farense,1,1,D,1,1,D,1.95,4.0,3.3,9,4,13,17,4,1,5,8,12,4,D,L,W,L,L,W,D,D,D,L,11
91,09/11/2024,Estoril,AVS,0,0,D,0,0,D,2.25,3.5,3.0,8,9,16,19,4,5,8,13,9,9,L,L,W,L,L,D,L,D,D,L,11
92,09/11/2024,Famalicao,Arouca,0,0,D,0,0,D,1.91,4.0,3.5,12,6,9,19,7,5,3,8,16,7,W,L,L,L,D,D,D,L,D,W,11
93,09/11/2024,Boavista,Rio Ave,0,2,A,0,1,A,2.75,2.7,3.1,7,8,13,20,2,5,8,11,9,9,W,D,L,L,D,D,L,L,L,D,11
94,10/11/2024,Estrela,Nacional,2,0,H,0,0,D,2.2,3.2,3.4,8,6,20,15,5,5,10,5,6,8,L,L,D,W,L,L,W,D,L,L,11
95,10/11/2024,Santa Clara,Guimaraes,1,0,H,0,0,D,2.9,2.6,3.0,13,12,12,10,6,5,9,3,18,18,L,W,W,D,L,D,W,D,W,L,11
96,10/11/2024,Sp Braga,Sp Lisbon,2,4,A,2,0,H,5.25,1.57,4.2,17,35,7,3,6,15,1,2,20,30,W,W,W,W,L,W,W,W,W,W,11
97,10/11/2024,Benfica,Porto,4,1,H,1,1,D,2.1,3.5,3.3,28,27,7,4,12,12,5,0,25,27,W,W,W,W,W,W,W,W,W,W,11
98,29/11/2024,Farense,Estrela,1,0,H,1,0,H,2.2,3.4,3.25,4,8,17,20,1,5,8,10,4,6,L,L,L,D,W,L,D,W,L,L,11
99,30/11/2024,Rio Ave,Moreirense,3,2,H,1,0,H,2.8,2.55,3.2,10,15,20,14,6,5,11,5,12,17,W,W,D,L,L,W,D,W,L,L,12
100,30/11/2024,Nacional,Boavista,0,0,D,0,0,D,1.91,4.0,3.4,6,7,15,15,5,2,5,9,9,9,D,L,L,W,W,L,L,D,D,L,12
101,30/11/2024,Sp Lisbon,Santa Clara,0,1,A,0,1,A,1.17,17.0,6.5,39,14,5,12,15,6,4,9,33,21,W,W,W,L,W,W,W,L,W,W,12
102,01/12/2024,Estoril,Famalicao,2,1,H,2,1,H,3.2,2.2,3.4,8,12,16,9,4,7,8,3,10,17,D,D,L,W,W,L,L,D,L,D,12
103,01/12/2024,Arouca,Benfica,0,2,A,0,1,A,9.5,1.27,5.75,6,30,19,7,5,13,8,5,8,28,D,W,L,W,L,W,D,W,L,W,12
104,01/12/2024,AVS,Sp Braga,0,1,A,0,0,D,5.5,1.6,3.9,9,19,19,11,5,8,13,1,10,20,D,L,L,W,L,W,D,L,D,W,12
