,Unnamed: 0,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
65,6061,2024-10-06,GO Ahead Eagles,Heracles,4,1,H,0,4,6,6,9,9,3,5,6,3,10,9,W,W,D,W,W,D,L,L,W,D,8
66,6062,2024-10-06,Feyenoord,Twente,2,1,H,2,0,14,13,7,5,7,3,3,5,13,14,W,W,D,W,W,W,D,D,D,L,8
67,6063,2024-10-06,Heerenveen,PEC Zwolle,1,1,D,1,0,9,7,16,10,9,3,12,6,7,7,L,W,W,L,L,D,L,W,W,L,8
68,6064,2024-10-06,Ajax,Groningen,3,1,H,1,2,17,10,7,8,8,5,7,5,16,9,W,L,W,L,W,D,D,D,W,D,8
69,6065,2024-10-06,Fortuna Sittard,AZ Alkmaar,1,0,H,0,1,7,17,13,4,6,5,5,7,7,16,D,L,L,W,L,W,L,W,L,D,8
70,6066,2024-10-19,Sparta Rotterdam,Almere City FC,2,2,D,0,2,8,2,7,18,5,4,1,2,10,2,D,L,W,L,L,D,W,D,D,L,8
71,6067,2024-10-19,AZ Alkmaar,PSV Eindhoven,1,2,A,0,1,17,25,4,4,5,8,7,5,16,21,L,W,W,W,W,W,W,W,D,W,8
72,6068,2024-10-19,NEC Nijmegen,Heerenveen,3,0,H,1,2,7,10,9,17,4,10,4,12,7,8,L,D,D,L,L,W,L,L,W,L,9
73,6069,2024-10-19,Waalwijk,Twente,2,2,D,1,1,5,14,22,7,6,3,9,7,0,14,L,L,L,W,L,W,L,W,L,D,9
74,6070,2024-10-19,GO Ahead Eagles,Feyenoord,1,5,A,0,1,10,19,10,8,3,8,10,3,13,16,W,W,W,W,D,D,W,W,L,D,9
75,6071,2024-10-20,Willem II,Fortuna Sittard,0,0,D,0,0,11,8,9,13,5,6,6,6,11,10,W,W,L,D,L,L,W,L,L,L,9
76,6072,2024-10-20,Groningen,Utrecht,0,1,A,0,0,11,15,11,8,7,6,6,6,9,22,L,W,L,W,L,W,D,W,D,W,9
77,6073,2024-10-20,Heracles,Ajax,3,4,A,2,1,7,18,13,7,9,9,3,7,9,19,L,W,W,W,W,W,D,W,L,D,9
78,6074,2024-10-20,PEC Zwolle,NAC Breda,1,2,A,0,1,8,6,11,14,3,8,7,8,8,9,D,W,W,L,L,L,D,W,W,L,9
79,6075,2024-10-25,Almere City FC,NEC Nijmegen,1,0,H,0,1,2,7,19,9,4,4,2,4,2,7,L,L,L,D,L,L,D,L,D,W,9
80,6076,2024-10-26,Fortuna Sittard,Groningen,1,0,H,0,1,8,11,13,11,6,7,6,6,10,9,W,L,D,L,L,L,L,D,L,D,9
81,6077,2024-10-26,PSV Eindhoven,PEC Zwolle,6,0,H,2,4,29,9,6,13,11,3,5,8,27,8,W,L,W,D,W,W,W,L,W,D,10
82,6078,2024-10-26,NAC Breda,Waalwijk,4,1,H,2,2,8,7,15,24,9,7,8,10,12,1,W,D,W,L,L,L,L,L,W,L,10
83,6079,2024-10-26,Heerenveen,Sparta Rotterdam,2,0,H,1,1,10,11,20,11,12,5,13,5,8,11,L,D,D,L,L,D,W,W,L,L,10
84,6080,2024-10-27,Utrecht,Feyenoord,0,2,A,0,0,15,21,10,8,6,8,6,3,22,19,L,W,W,W,W,W,W,D,W,W,10
85,6081,2024-10-27,Twente,Heracles,5,0,H,2,3,16,10,9,17,4,11,8,4,15,9,D,L,L,L,W,W,W,W,W,D,10
86,6082,2024-10-27,Ajax,Willem II,1,0,H,1,0,20,11,7,9,9,5,7,6,22,12,W,D,W,W,W,L,W,L,W,W,10
87,6083,2024-10-27,AZ Alkmaar,GO Ahead Eagles,2,2,D,1,1,18,11,7,15,6,3,8,11,16,13,L,L,L,W,L,W,W,D,W,W,10
88,6084,2024-10-30,Feyenoord,Ajax,0,2,A,0,0,21,20,8,7,8,9,3,7,19,22,W,W,W,W,W,W,D,W,W,W,10
89,6085,2024-11-02,Willem II,Twente,0,1,A,0,0,11,16,9,9,5,4,6,8,12,15,D,D,W,L,L,W,L,W,W,W,10
90,6086,2024-11-02,Ajax,PSV Eindhoven,3,2,H,1,2,23,35,9,6,10,13,9,9,25,30,W,W,W,W,W,W,W,W,W,W,11
91,6087,2024-11-02,Heracles,NAC Breda,2,0,H,1,1,10,12,22,16,14,11,6,10,9,15,L,W,L,W,L,W,W,L,W,L,11
92,6088,2024-11-02,Fortuna Sittard,Heerenveen,3,0,H,1,2,9,12,13,20,6,13,7,14,14,11,W,W,D,L,W,D,D,L,L,W,11
93,6089,2024-11-02,Feyenoord,AZ Alkmaar,3,2,H,0,3,21,20,10,9,8,7,3,9,19,17,L,D,W,L,W,L,W,L,D,W,11
94,6090,2024-11-03,GO Ahead Eagles,PEC Zwolle,2,2,D,0,2,13,9,17,19,4,7,12,10,14,8,D,L,L,L,W,D,W,W,D,L,11
95,6091,2024-11-03,NEC Nijmegen,Groningen,6,0,H,3,3,10,11,10,13,6,8,6,6,10,9,L,L,W,L,L,L,D,L,L,L,11
96,6092,2024-11-03,Sparta Rotterdam,Utrecht,1,4,A,0,1,11,19,13,11,6,7,6,6,11,25,L,W,D,L,L,W,D,W,W,W,11
97,6093,2024-11-03,Waalwijk,Almere City FC,2,0,H,1,1,8,5,28,21,9,6,12,3,1,6,L,W,D,D,L,L,L,L,L,L,11
98,6094,2024-11-08,Utrecht,Heracles,1,0,H,0,1,19,10,11,22,7,14,6,6,25,9,W,L,L,L,W,L,W,W,W,W,11
99,6095,2024-11-09,Groningen,Sparta Rotterdam,1,0,H,1,0,11,12,19,17,11,6,9,7,9,11,L,L,L,L,L,D,L,L,L,D,12
100,6096,2024-11-09,PEC Zwolle,Fortuna Sittard,3,1,H,0,3,11,12,21,13,9,7,10,9,9,17,D,W,L,W,L,D,D,W,W,D,12
101,6097,2024-11-09,NAC Breda,PSV Eindhoven,0,3,A,0,0,12,37,18,9,12,15,11,10,15,30,L,L,W,W,W,W,W,W,L,W,12
102,6098,2024-11-09,Waalwijk,NEC Nijmegen,0,3,A,0,0,10,16,28,10,10,9,13,9,4,13,W,W,L,L,D,W,L,L,L,D,12
103,6099,2024-11-10,Almere City FC,Feyenoord,1,4,A,1,0,5,24,23,12,7,8,4,6,6,22,L,W,W,L,D,W,L,W,L,W,12
104,6100,2024-11-10,Heerenveen,GO Ahead Eagles,1,0,H,1,0,12,15,23,19,15,4,15,14,11,15,L,D,W,D,L,L,D,W,L,W,12
