,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,FTR_original,HomeForm,HomeGD,DrawRate_Home,WinRate_Home,GoalsAvg_Home,AwayForm,AwayGD,DrawRate_Away,WinRate_Away,GoalsAvg_Away,Year,Month,Weekday,OddsRatio_HA,OddsDiff_HD,OddsDiff_AD,OddsGap_MinDelta,Form_Diff,IsDraw
40,2002-08-03,Troyes,Monaco,0.0,4.0,2,0.0,2.0,2,2.1,3.2,3.0,A,4,4.0,0.0,0.0,0.0,4,3.0,0.0,0.0,0.0,2002,8,5,0.65625,-0.8999999999999999,0.20000000000000018,1.1,0,0
41,2002-08-03,Strasbourg,Ajaccio,1.0,1.0,1,1.0,1.0,0,1.833,4.0,3.0,D,4,2.0,0.0,0.0,0.0,4,7.0,0.0,0.0,0.0,2002,8,5,0.45825,-1.167,1.0,2.167,0,1
42,2002-08-03,Sedan,Sochaux,0.0,0.0,1,0.0,0.0,0,2.0,3.4,3.0,D,4,1.0,0.0,0.0,0.0,4,3.0,0.0,0.0,0.0,2002,8,5,0.5882352941176471,-1.0,0.3999999999999999,1.4,0,1
43,2002-08-03,Nice,Le Havre,1.0,2.0,2,0.0,1.0,2,1.909,3.75,3.0,A,4,-7.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,2002,8,5,0.5090666666666667,-1.091,0.75,1.841,0,0
44,2002-08-03,Montpellier,Rennes,1.0,0.0,0,0.0,0.0,0,1.833,4.0,3.0,H,4,-3.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,2002,8,5,0.45825,-1.167,1.0,2.167,0,0
45,2002-08-03,Marseille,Nantes,0.0,2.0,2,0.0,0.0,0,2.25,2.875,3.0,A,4,-3.0,0.0,0.0,0.0,4,-6.0,0.0,0.0,0.0,2002,8,5,0.782608695652174,-0.75,-0.125,0.75,0,0
46,2002-08-03,Lille,Bordeaux,0.0,3.0,2,0.0,1.0,2,2.1,3.2,3.0,A,4,-5.0,0.0,0.0,0.0,4,-1.0,0.0,0.0,0.0,2002,8,5,0.65625,-0.8999999999999999,0.20000000000000018,1.1,0,0
47,2002-08-03,Bastia,Lens,1.0,1.0,1,0.0,0.0,0,2.5,2.625,2.875,D,4,-3.0,0.0,0.0,0.0,4,-6.0,0.0,0.0,0.0,2002,8,5,0.9523809523809523,-0.375,-0.25,0.375,0,1
48,2002-08-03,Paris SG,Auxerre,1.0,0.0,0,0.0,0.0,0,1.833,4.0,3.0,H,4,1.0,0.0,0.0,0.0,4,8.0,0.0,0.0,0.0,2002,8,5,0.45825,-1.167,1.0,2.167,0,0
49,2002-11-03,Sedan,Paris SG,3.0,1.0,0,1.0,1.0,0,2.875,2.25,3.0,H,4,1.0,0.0,0.0,0.0,4,3.0,0.0,0.0,0.0,2002,11,6,1.2777777777777777,-0.125,-0.75,0.75,0,0
50,2002-11-03,Nantes,Bordeaux,0.0,0.0,1,0.0,0.0,0,2.3,2.8,3.0,D,5,7.0,0.2,0.2,1.5,5,2.0,0.3,0.2,0.6,2002,11,6,0.8214285714285714,-0.7000000000000002,-0.20000000000000018,0.7000000000000002,0,1
51,2002-12-03,Nice,Ajaccio,3.0,0.0,0,2.0,0.0,1,1.615,5.0,3.25,H,5,-6.0,0.3,0.0,0.2,5,2.0,0.3,0.2,0.5,2002,12,1,0.323,-1.635,1.75,3.385,0,0
52,2003-02-04,Monaco,Lyon,2.0,0.0,0,1.0,0.0,1,2.1,3.2,3.0,H,5,2.0,0.0,0.2,0.5,5,0.0,0.1,0.2,0.7,2003,2,1,0.65625,-0.8999999999999999,0.20000000000000018,1.1,0,0
53,2003-05-04,Paris SG,Monaco,2.0,1.0,0,0.0,1.0,2,2.5,2.5,3.1,H,5,7.0,0.1,0.3,1.1,5,1.0,0.2,0.2,0.5,2003,5,6,1.0,-0.6000000000000001,-0.6000000000000001,0.6000000000000001,0,0
54,2002-12-04,Bastia,Sedan,0.0,1.0,2,0.0,1.0,2,1.8,4.0,3.1,A,5,0.0,0.3,0.1,0.3,5,4.0,0.2,0.2,0.9,2002,12,2,0.45,-1.3,0.8999999999999999,2.2,0,0
55,2002-12-04,Guingamp,Nantes,2.0,0.0,0,0.0,0.0,0,2.1,3.2,3.0,H,5,-8.0,0.1,0.0,0.2,5,2.0,0.2,0.2,0.7,2002,12,2,0.65625,-0.8999999999999999,0.20000000000000018,1.1,0,0
56,2002-12-04,Le Havre,Bordeaux,1.0,0.0,0,0.0,0.0,0,2.5,2.6,3.0,H,5,-2.0,0.2,0.1,0.4,5,-3.0,0.1,0.1,0.2,2002,12,2,0.9615384615384615,-0.5,-0.3999999999999999,0.5,0,0
57,2002-12-04,Lille,Auxerre,2.0,2.0,1,2.0,1.0,1,2.2,3.0,3.0,D,5,-3.0,0.3,0.1,0.6,5,-6.0,0.1,0.1,0.2,2002,12,2,0.7333333333333334,-0.7999999999999998,0.0,0.7999999999999998,0,1
58,2002-12-04,Montpellier,Monaco,1.0,2.0,2,1.0,1.0,0,2.375,2.7,3.0,A,5,3.0,0.2,0.2,0.5,5,-4.0,0.2,0.1,0.2,2002,12,2,0.8796296296296295,-0.625,-0.2999999999999998,0.625,0,0
59,2002-12-04,Paris SG,Lyon,2.0,0.0,0,1.0,0.0,1,2.375,2.8,2.875,H,5,3.0,0.1,0.3,0.6,5,-1.0,0.1,0.2,0.6,2002,12,2,0.8482142857142858,-0.5,-0.07500000000000018,0.5,0,0
60,2002-12-04,Strasbourg,Rennes,1.0,3.0,2,0.0,0.0,0,1.667,5.0,3.1,A,6,2.0,0.3,0.2,0.9,6,4.0,0.1,0.4,0.7,2002,12,2,0.33340000000000003,-1.433,1.9,3.333,0,0
61,2002-12-04,Troyes,Lens,0.0,0.0,1,0.0,0.0,0,2.375,2.7,3.0,D,6,-6.0,0.2,0.1,0.3,6,3.0,0.0,0.3,0.7,2002,12,2,0.8796296296296295,-0.625,-0.2999999999999998,0.625,0,1
62,2002-12-04,Marseille,Sochaux,1.0,0.0,0,1.0,0.0,1,1.8,4.0,3.1,H,6,5.0,0.2,0.3,1.1,6,9.0,0.1,0.4,1.3,2002,12,2,0.45,-1.3,0.8999999999999999,2.2,0,0
