,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
135,2024-12-18,Monaco,Paris Saint Germain,2,4,A,24,40,12,12,30,37,D,W,W,D,L,D,W,W,W,W,16
136,2025-01-03,Nice,Rennes,3,2,H,28,20,19,20,24,17,D,W,W,L,L,W,W,L,D,L,16
137,2025-01-04,Saint Etienne,Reims,3,1,H,12,20,34,18,13,20,L,D,L,D,L,L,W,D,L,W,16
138,2025-01-04,Lille,Nantes,1,1,D,25,17,15,24,27,14,D,L,W,W,D,D,W,L,D,L,16
139,2025-01-04,Lyon,Montpellier,1,0,H,27,15,20,38,25,9,L,D,W,L,W,D,D,L,W,W,16
140,2025-01-05,Angers,Stade Brestois 29,2,0,H,14,24,26,27,13,19,L,W,L,L,W,W,L,L,L,L,16
141,2025-01-05,Strasbourg,Auxerre,3,1,H,25,23,27,23,17,21,W,D,D,D,L,L,L,W,L,W,16
142,2025-01-05,Lens,Toulouse,0,1,A,19,17,14,17,24,21,D,W,W,L,W,W,L,L,W,W,16
143,2025-01-05,Marseille,Le Havre,5,1,H,32,11,18,29,30,12,D,L,W,L,W,L,W,W,L,L,16
144,2025-01-10,Nantes,Monaco,2,2,D,18,26,25,16,15,30,D,L,L,D,W,W,D,L,L,W,17
145,2025-01-10,Auxerre,Lille,0,0,D,24,26,26,16,21,28,L,D,D,D,D,W,L,D,W,W,17
146,2025-01-11,Stade Brestois 29,Lyon,2,1,H,24,28,29,20,19,28,L,W,W,L,L,W,W,W,L,D,17
147,2025-01-11,Reims,Nice,2,4,A,21,31,21,21,20,27,L,W,D,D,D,W,L,L,D,W,17
148,2025-01-11,Rennes,Marseille,1,2,A,22,37,23,19,17,33,L,W,W,D,L,W,W,W,L,W,17
149,2025-01-12,Le Havre,Lens,1,2,A,12,19,34,15,12,24,L,L,L,D,L,W,L,W,W,L,17
150,2025-01-12,Montpellier,Angers,1,3,A,15,16,39,26,9,16,L,W,D,L,L,L,D,W,L,L,17
151,2025-01-12,Toulouse,Strasbourg,1,2,A,18,28,17,28,24,20,W,W,W,W,L,D,W,L,L,L,17
152,2025-01-12,Paris Saint Germain,Saint Etienne,2,1,H,44,15,14,35,40,16,W,W,W,L,D,L,D,L,W,W,17
153,2025-01-17,Montpellier,Monaco,2,1,H,16,28,42,18,9,31,L,D,L,L,D,D,L,W,D,L,18
154,2025-01-17,Lille,Nice,2,1,H,26,35,16,23,29,30,D,W,D,W,D,D,W,W,D,L,18
155,2025-01-18,Lens,Paris Saint Germain,1,2,A,21,46,16,15,27,43,W,W,L,W,D,W,W,D,W,D,18
156,2025-01-18,Rennes,Stade Brestois 29,1,2,A,23,26,25,30,17,22,L,W,L,L,W,W,L,L,W,W,18
157,2025-01-18,Lyon,Toulouse,0,0,D,29,19,22,19,28,24,L,L,W,W,L,W,W,L,W,W,18
158,2025-01-19,Saint Etienne,Nantes,1,1,D,16,20,37,27,16,16,L,D,W,D,L,L,L,W,L,D,18
159,2025-01-19,Angers,Auxerre,2,0,H,19,24,27,26,19,22,W,D,W,L,L,D,L,D,W,L,18
160,2025-01-19,Reims,Le Havre,1,1,D,23,13,25,36,20,12,L,L,L,L,D,L,D,L,L,L,18
161,2025-01-19,Marseille,Strasbourg,1,1,D,39,30,20,29,36,23,W,W,W,W,D,W,W,D,W,L,18
162,2025-01-24,Auxerre,Saint Etienne,1,1,D,24,17,28,38,22,17,L,D,D,L,L,W,D,L,D,L,19
163,2025-01-25,Monaco,Rennes,3,2,H,29,24,20,27,31,17,L,L,D,L,L,L,D,W,W,L,19
164,2025-01-25,Strasbourg,Lille,2,1,H,31,28,30,17,24,32,D,W,W,D,W,D,W,D,D,W,19
165,2025-01-25,Paris Saint Germain,Reims,1,1,D,48,24,16,26,46,21,W,D,W,L,W,L,W,D,D,D,19
166,2025-01-26,Le Havre,Stade Brestois 29,0,1,A,14,28,37,31,13,25,D,W,L,W,L,L,L,W,L,L,19
167,2025-01-26,Nantes,Lyon,1,1,D,21,29,28,22,17,29,D,D,D,L,D,W,L,L,W,W,19
168,2025-01-26,Toulouse,Montpellier,1,2,A,19,18,19,43,25,12,D,W,L,L,W,L,W,D,L,L,19
169,2025-01-26,Lens,Angers,1,0,H,22,21,18,27,27,22,L,W,W,W,L,W,D,L,W,L,19
170,2025-01-26,Nice,Marseille,2,0,H,36,40,25,21,30,37,L,D,W,W,W,W,D,D,W,W,19
171,2025-01-31,Montpellier,Lens,0,2,A,20,23,44,18,15,30,W,W,W,L,L,W,L,L,D,D,20
172,2025-02-01,Stade Brestois 29,Paris Saint Germain,2,5,A,29,49,31,17,28,47,W,D,W,W,W,W,L,W,W,W,20
173,2025-02-01,Monaco,Auxerre,4,2,H,32,25,22,29,34,23,W,D,L,L,D,D,L,L,D,D,20
174,2025-02-01,Lille,Saint Etienne,4,1,H,29,18,19,39,32,18,L,D,W,D,D,L,D,W,D,L,20
175,2025-02-02,Toulouse,Nice,1,1,D,20,38,21,25,25,33,L,W,D,L,L,W,W,W,W,D,20
176,2025-02-02,Angers,Le Havre,1,1,D,21,14,28,38,22,13,L,L,W,D,W,L,W,L,L,L,20
177,2025-02-02,Reims,Nantes,1,2,A,25,22,27,29,22,18,D,D,D,D,L,D,L,D,D,L,20
178,2025-02-02,Rennes,Strasbourg,1,0,H,26,33,30,31,17,27,L,W,L,D,L,W,L,W,W,W,20
179,2025-02-02,Marseille,Lyon,3,2,H,40,30,23,23,37,30,L,D,D,D,W,L,W,W,D,L,20
180,2025-02-07,Nantes,Stade Brestois 29,0,2,A,24,31,30,36,21,28,W,L,D,W,D,W,D,W,D,L,21
181,2025-02-07,Paris Saint Germain,Monaco,4,1,H,54,36,19,24,50,37,W,W,D,W,W,L,W,D,W,L,21
182,2025-02-08,Nice,Lens,2,0,H,39,25,26,18,34,33,D,W,W,W,L,L,W,W,W,L,21
183,2025-02-08,Lille,Le Havre,1,2,A,33,15,20,39,35,14,W,D,L,L,W,D,D,L,D,L,21
184,2025-02-08,Saint Etienne,Rennes,0,2,A,19,27,43,30,18,20,L,W,D,L,D,L,L,L,W,L,21
185,2025-02-09,Lyon,Reims,4,0,H,32,26,26,29,30,22,L,L,D,D,D,D,L,L,W,L,21
186,2025-02-09,Strasbourg,Montpellier,2,0,H,33,20,32,46,27,15,L,L,W,W,D,W,W,L,W,L,21
187,2025-02-09,Auxerre,Toulouse,2,2,D,27,21,33,22,23,26,L,D,D,L,L,D,D,L,L,W,21
188,2025-02-09,Angers,Marseille,0,2,A,22,43,29,25,23,40,D,W,L,L,W,D,W,W,W,W,21
189,2025-02-14,Stade Brestois 29,Auxerre,2,2,D,33,29,36,35,31,24,W,D,L,L,W,D,W,L,W,D,22
190,2025-02-15,Marseille,Saint Etienne,5,1,H,45,19,25,45,43,18,W,L,W,L,L,D,D,D,W,L,22
