,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
3954,2025-02-14,FC Augsburg,RB Leipzig,0,0,0,0,D,24,36,35,29,18,19,19,18,27,36,D,W,D,D,W,D,W,D,W,L,22
3955,2025-02-15,VfB Stuttgart,VfL Wolfsburg,1,2,0,1,A,39,43,31,35,18,13,23,22,35,30,W,D,L,D,L,D,W,L,W,W,22
3956,2025-02-15,VfL Bochum,Borussia Dortmund,2,0,2,0,H,19,37,46,36,21,21,17,25,11,29,D,L,L,W,L,D,D,L,W,L,22
3957,2025-02-15,Union Berlin,Borussia Mönchengladbach,1,2,0,1,A,20,33,27,31,20,25,8,15,24,31,W,D,D,W,L,W,W,L,L,L,22
3958,2025-02-15,FC St. Pauli,SC Freiburg,0,1,0,0,A,18,28,24,36,8,24,12,18,21,33,L,W,D,W,W,L,W,L,L,L,22
3959,2025-02-15,Bayer Leverkusen,Bayern München,0,0,0,0,D,49,65,27,19,22,21,19,26,46,54,D,W,W,W,D,W,W,W,W,W,22
3960,2025-02-16,Werder Bremen,1899 Hoffenheim,1,3,1,0,A,34,26,39,44,15,15,21,21,30,18,L,L,W,L,D,D,L,W,D,L,22
3961,2025-02-16,Eintracht Frankfurt,Holstein Kiel,3,1,2,1,H,46,33,28,54,23,21,18,22,39,13,D,D,D,L,D,D,W,L,W,W,22
3962,2025-02-16,1. FC Heidenheim,FSV Mainz 05,0,2,0,0,A,25,33,43,24,16,15,18,13,14,32,L,D,L,L,L,W,L,L,D,L,22
3963,2025-02-21,SC Freiburg,Werder Bremen,5,0,2,3,H,29,35,36,42,24,16,18,21,36,30,W,L,W,L,W,W,L,D,L,L,23
3964,2025-02-22,VfL Wolfsburg,VfL Bochum,1,1,0,1,D,45,21,36,46,14,23,22,17,33,14,W,W,D,D,D,L,D,L,L,D,23
3965,2025-02-22,Borussia Mönchengladbach,FC Augsburg,0,3,0,0,A,35,24,32,35,26,18,15,19,34,28,W,D,D,D,W,D,W,W,L,W,23
3966,2025-02-22,FSV Mainz 05,FC St. Pauli,2,0,0,2,H,35,18,24,25,15,8,13,12,35,21,W,L,D,L,L,D,W,W,L,W,23
3967,2025-02-22,Holstein Kiel,Bayer Leverkusen,0,2,0,0,A,34,49,57,27,22,22,24,19,13,47,L,D,D,D,L,W,D,D,L,W,23
3968,2025-02-22,Borussia Dortmund,Union Berlin,6,0,2,4,H,37,21,38,29,21,20,27,9,29,24,L,L,L,W,W,D,D,L,L,W,23
3969,2025-02-23,RB Leipzig,1. FC Heidenheim,2,2,1,1,D,36,25,29,45,19,16,18,18,37,14,D,L,W,L,D,L,D,L,D,L,23
3970,2025-02-23,Bayern München,Eintracht Frankfurt,4,0,1,3,H,65,49,19,29,21,25,26,19,55,42,D,W,W,D,W,D,W,D,W,W,23
3971,2025-02-23,1899 Hoffenheim,VfB Stuttgart,1,1,0,1,D,29,40,45,33,15,18,22,24,21,35,W,L,L,W,L,L,D,L,W,W,23
