,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
82,2024-11-09,Werder Bremen,Holstein Kiel,2,1,1,1,H,15,11,20,23,2,4,12,9,12,5,L,W,D,L,W,L,L,D,W,L,10
83,2024-11-09,FSV Mainz 05,Borussia Dortmund,3,1,2,1,H,12,17,13,15,3,10,5,13,10,16,D,W,D,L,L,W,W,L,L,W,10
84,2024-11-09,VfL Bochum,Bayer Leverkusen,1,1,0,1,D,9,20,29,15,13,11,7,5,1,16,L,D,L,D,L,W,L,D,L,D,10
85,2024-11-09,FC St. Pauli,Bayern München,0,1,0,0,A,7,32,11,7,4,8,2,8,8,23,W,W,D,W,L,W,L,D,W,D,10
86,2024-11-09,RB Leipzig,Borussia Mönchengladbach,0,0,0,0,D,15,15,5,14,3,8,9,8,20,13,L,W,W,D,W,W,W,L,W,W,10
87,2024-11-10,FC Augsburg,1899 Hoffenheim,0,0,0,0,D,13,13,20,19,10,9,13,7,11,8,D,L,W,D,L,W,W,D,L,L,10
88,2024-11-10,VfB Stuttgart,Eintracht Frankfurt,2,3,0,2,A,17,23,16,14,12,15,9,8,13,17,D,W,W,D,L,L,D,D,D,W,10
89,2024-11-10,1. FC Heidenheim,VfL Wolfsburg,1,3,0,1,A,12,16,12,17,5,5,7,8,10,9,L,D,D,D,L,L,L,W,W,D,10
90,2024-11-22,Bayern München,FC Augsburg,3,0,0,3,H,33,13,7,20,8,10,8,13,26,12,W,D,W,D,W,W,W,L,D,W,11
91,2024-11-23,VfL Wolfsburg,Union Berlin,1,0,0,1,H,19,9,18,8,6,8,8,3,12,16,W,D,D,L,D,D,L,W,W,W,11
92,2024-11-23,Borussia Dortmund,SC Freiburg,4,0,2,2,H,18,13,18,11,11,8,15,5,16,17,L,D,W,D,L,L,W,W,L,W,11
93,2024-11-23,1899 Hoffenheim,RB Leipzig,4,3,1,3,H,13,15,19,5,9,3,7,9,9,21,D,D,L,L,D,W,W,W,D,W,11
94,2024-11-23,Bayer Leverkusen,1. FC Heidenheim,5,2,2,3,H,21,13,16,15,12,5,5,8,17,10,D,L,D,L,D,D,W,L,D,L,11
95,2024-11-23,VfB Stuttgart,VfL Bochum,2,0,0,2,H,19,10,19,30,12,13,11,8,13,2,L,D,D,L,W,L,L,L,D,L,11
96,2024-11-23,Eintracht Frankfurt,Werder Bremen,1,0,1,0,H,26,17,16,21,17,3,8,13,20,15,W,W,W,L,D,D,L,W,D,L,11
97,2024-11-24,Holstein Kiel,FSV Mainz 05,0,3,0,0,A,12,15,25,14,5,5,10,6,5,13,L,W,W,D,L,D,L,L,D,W,11
98,2024-11-24,Borussia Mönchengladbach,FC St. Pauli,2,0,2,0,H,15,7,14,12,8,4,8,2,14,8,D,L,W,W,D,D,W,L,L,L,11
99,2024-11-29,FC St. Pauli,Holstein Kiel,3,1,1,2,H,7,12,14,28,4,5,4,10,8,5,L,L,L,L,W,W,D,L,L,L,12
100,2024-11-30,SC Freiburg,Borussia Mönchengladbach,3,1,1,2,H,13,17,15,14,10,10,7,8,17,17,L,W,D,D,D,W,L,D,W,W,12
101,2024-11-30,Werder Bremen,VfB Stuttgart,2,2,1,1,D,17,21,22,19,3,12,14,13,15,16,L,W,W,L,L,D,D,W,W,L,12
102,2024-11-30,FC Augsburg,VfL Bochum,1,0,1,0,H,13,10,23,32,13,15,13,8,12,2,L,L,D,D,D,L,W,L,L,L,12
103,2024-11-30,RB Leipzig,VfL Wolfsburg,1,5,0,1,A,18,20,9,18,6,6,10,9,21,15,L,W,D,W,L,D,W,D,W,L,12
104,2024-11-30,Union Berlin,Bayer Leverkusen,1,2,1,0,A,9,26,9,18,9,14,3,8,16,20,L,W,D,D,L,D,D,D,W,W,12
105,2024-11-30,Borussia Dortmund,Bayern München,1,1,1,0,D,22,36,18,7,13,8,17,11,19,29,W,W,L,W,W,W,L,W,W,W,12
106,2024-12-01,FSV Mainz 05,1899 Hoffenheim,2,0,2,0,H,18,17,14,22,5,10,6,10,16,12,W,W,W,D,D,L,D,D,L,W,12
107,2024-12-01,1. FC Heidenheim,Eintracht Frankfurt,0,4,0,0,A,15,27,20,16,8,18,10,8,10,23,L,W,L,W,L,W,D,D,L,L,12
108,2024-12-06,VfB Stuttgart,Union Berlin,3,2,0,3,H,23,10,21,11,13,10,14,3,17,16,D,L,W,L,L,D,D,L,W,D,13
109,2024-12-07,Bayern München,1. FC Heidenheim,4,2,1,3,H,37,15,8,24,8,8,12,10,30,10,D,L,W,L,W,L,W,L,W,D,13
110,2024-12-07,Bayer Leverkusen,FC St. Pauli,2,1,2,0,H,28,10,19,15,14,5,9,6,23,11,W,W,W,L,D,L,D,W,D,D,13
111,2024-12-07,Eintracht Frankfurt,FC Augsburg,2,2,0,2,D,31,14,16,23,18,14,8,13,26,15,W,W,W,L,W,D,W,D,D,W,13
