,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D
132,2024-12-21,Leverkusen,Freiburg,5,1,H,1.0,0.0,H,1.38,7.5,5.0
133,2024-12-22,Bochum,Heidenheim,2,0,H,2.0,0.0,H,2.3,3.0,3.5
134,2024-12-22,Wolfsburg,Dortmund,1,3,A,0.0,3.0,A,3.1,2.2,3.6
135,2025-01-10,Dortmund,Leverkusen,2,3,A,1.0,3.0,A,2.7,2.45,3.6
136,2025-01-11,Freiburg,Holstein Kiel,3,2,H,2.0,0.0,H,1.4,7.5,4.75
137,2025-01-11,Heidenheim,Union Berlin,2,0,H,1.0,0.0,H,3.1,2.3,3.3
138,2025-01-11,Hoffenheim,Wolfsburg,0,1,A,0.0,1.0,A,2.35,2.88,3.6
139,2025-01-11,Mainz,Bochum,2,0,H,1.0,0.0,H,1.53,5.75,4.33
140,2025-01-11,St Pauli,Ein Frankfurt,0,1,A,0.0,1.0,A,3.7,2.05,3.5
141,2025-01-11,M'gladbach,Bayern Munich,0,1,A,0.0,0.0,D,7.0,1.4,5.0
142,2025-01-12,RB Leipzig,Werder Bremen,4,2,H,2.0,1.0,H,1.75,4.2,4.0
143,2025-01-12,Augsburg,Stuttgart,0,1,A,0.0,0.0,D,3.6,2.0,3.6
144,2025-01-14,Holstein Kiel,Dortmund,4,2,H,3.0,0.0,H,5.25,1.55,4.5
145,2025-01-14,Ein Frankfurt,Freiburg,4,1,H,1.0,1.0,D,1.7,4.33,4.2
146,2025-01-14,Leverkusen,Mainz,1,0,H,0.0,0.0,D,1.36,7.5,5.25
147,2025-01-14,Wolfsburg,M'gladbach,5,1,H,1.0,0.0,H,1.91,3.75,3.8
148,2025-01-15,Bochum,St Pauli,1,0,H,0.0,0.0,D,2.6,2.75,3.25
149,2025-01-15,Bayern Munich,Hoffenheim,5,0,H,3.0,0.0,H,1.13,17.0,9.0
150,2025-01-15,Stuttgart,RB Leipzig,2,1,H,0.0,1.0,A,1.95,3.4,3.9
151,2025-01-15,Union Berlin,Augsburg,0,2,A,0.0,2.0,A,1.83,4.5,3.5
152,2025-01-15,Werder Bremen,Heidenheim,3,3,D,1.0,1.0,D,1.6,4.75,4.2
153,2025-01-17,Ein Frankfurt,Dortmund,2,0,H,1.0,0.0,H,2.55,2.63,3.6
154,2025-01-18,Bayern Munich,Wolfsburg,3,2,H,2.0,1.0,H,1.17,15.0,7.5
155,2025-01-18,Bochum,RB Leipzig,3,3,D,0.0,3.0,A,3.7,2.0,3.6
156,2025-01-18,Heidenheim,St Pauli,0,2,A,0.0,1.0,A,2.38,2.8,3.5
157,2025-01-18,Holstein Kiel,Hoffenheim,1,3,A,0.0,2.0,A,3.0,2.35,3.4
158,2025-01-18,Stuttgart,Freiburg,4,0,H,3.0,0.0,H,1.65,4.5,4.5
159,2025-01-18,Leverkusen,M'gladbach,3,1,H,1.0,0.0,H,1.27,11.0,5.75
160,2025-01-19,Union Berlin,Mainz,2,1,H,2.0,1.0,H,2.55,2.88,3.2
161,2025-01-19,Werder Bremen,Augsburg,0,2,A,0.0,2.0,A,1.85,4.0,3.8
162,2025-01-24,Wolfsburg,Holstein Kiel,2,2,D,0.0,1.0,A,1.42,7.0,5.0
163,2025-01-25,Augsburg,Heidenheim,2,1,H,1.0,0.0,H,1.82,4.0,3.6
164,2025-01-25,Dortmund,Werder Bremen,2,2,D,1.0,0.0,H,1.62,4.75,4.33
165,2025-01-25,Freiburg,Bayern Munich,1,2,A,0.0,1.0,A,7.5,1.33,5.75
166,2025-01-25,Mainz,Stuttgart,2,0,H,1.0,0.0,H,2.8,2.45,3.5
167,2025-01-25,RB Leipzig,Leverkusen,2,2,D,1.0,2.0,A,3.7,1.9,3.9
168,2025-01-25,M'gladbach,Bochum,3,0,H,1.0,0.0,H,1.73,4.5,4.0
169,2025-01-26,Hoffenheim,Ein Frankfurt,2,2,D,0.0,1.0,A,3.1,2.2,3.6
170,2025-01-26,St Pauli,Union Berlin,3,0,H,1.0,0.0,H,2.55,3.0,3.1
171,2025-01-31,Werder Bremen,Mainz,1,0,H,1.0,0.0,H,2.25,3.2,3.3
172,2025-02-01,Bayern Munich,Holstein Kiel,4,3,H,2.0,0.0,H,1.05,26.0,17.0
173,2025-02-01,Bochum,Freiburg,0,1,A,0.0,1.0,A,2.8,2.5,3.4
174,2025-02-01,Heidenheim,Dortmund,1,2,A,0.0,1.0,A,4.33,1.75,3.9
175,2025-02-01,St Pauli,Augsburg,1,1,D,1.0,0.0,H,2.35,3.1,3.3
176,2025-02-01,Stuttgart,M'gladbach,1,2,A,0.0,1.0,A,1.57,5.0,4.5
177,2025-02-01,Union Berlin,RB Leipzig,0,0,D,0.0,0.0,D,3.1,2.25,3.5
178,2025-02-02,Ein Frankfurt,Wolfsburg,1,1,D,0.0,0.0,D,1.95,3.6,3.8
179,2025-02-02,Leverkusen,Hoffenheim,3,1,H,2.0,0.0,H,1.25,9.5,7.0
180,2025-02-07,Bayern Munich,Werder Bremen,3,0,H,0.0,0.0,D,1.1,17.0,11.0
181,2025-02-08,Dortmund,Stuttgart,1,2,A,0.0,0.0,D,1.85,3.9,3.8
182,2025-02-08,Freiburg,Heidenheim,1,0,H,1.0,0.0,H,1.7,4.75,3.75
183,2025-02-08,Hoffenheim,Union Berlin,0,4,A,0.0,1.0,A,2.2,3.2,3.5
184,2025-02-08,Mainz,Augsburg,0,0,D,0.0,0.0,D,1.75,5.0,3.5
185,2025-02-08,Wolfsburg,Leverkusen,0,0,D,0.0,0.0,D,4.33,1.8,3.6
186,2025-02-08,M'gladbach,Ein Frankfurt,1,1,D,1.0,1.0,D,2.63,2.55,3.5
187,2025-02-09,Holstein Kiel,Bochum,2,2,D,1.0,2.0,A,2.25,3.0,3.5
188,2025-02-09,RB Leipzig,St Pauli,2,0,H,2.0,0.0,H,1.57,5.25,4.2
189,2025-02-14,Augsburg,RB Leipzig,0,0,D,0.0,0.0,D,2.9,2.4,3.3
190,2025-02-15,Bochum,Dortmund,2,0,H,2.0,0.0,H,5.0,1.67,3.9
191,2025-02-15,St Pauli,Freiburg,0,1,A,0.0,0.0,D,2.5,2.88,3.25
192,2025-02-15,Stuttgart,Wolfsburg,1,2,A,0.0,0.0,D,1.73,4.2,4.2
193,2025-02-15,Union Berlin,M'gladbach,1,2,A,0.0,2.0,A,2.2,3.1,3.5
194,2025-02-15,Leverkusen,Bayern Munich,0,0,D,0.0,0.0,D,2.9,2.25,3.7
195,2025-02-16,Werder Bremen,Hoffenheim,1,3,A,1.0,2.0,A,1.85,3.9,3.8
196,2025-02-16,Ein Frankfurt,Holstein Kiel,3,1,H,2.0,0.0,H,1.33,7.5,5.75
197,2025-02-16,Heidenheim,Mainz,0,2,A,0.0,1.0,A,3.6,2.05,3.5
198,2025-02-21,Freiburg,Werder Bremen,5,0,H,2.0,0.0,H,2.0,3.75,3.5
199,2025-02-22,Holstein Kiel,Leverkusen,0,2,A,0.0,2.0,A,11.0,1.25,6.0
200,2025-02-22,Mainz,St Pauli,2,0,H,0.0,0.0,D,1.8,4.75,3.5
201,2025-02-22,M'gladbach,Augsburg,0,3,A,0.0,0.0,D,1.85,4.0,3.75
202,2025-02-22,Wolfsburg,Bochum,1,1,D,0.0,0.0,D,1.53,6.0,4.2
203,2025-02-22,Dortmund,Union Berlin,6,0,H,2.0,0.0,H,1.53,5.5,4.5
204,2025-02-23,RB Leipzig,Heidenheim,2,2,D,1.0,2.0,A,1.33,8.5,5.0
205,2025-02-23,Bayern Munich,Ein Frankfurt,4,0,H,1.0,0.0,H,1.3,7.5,6.5
206,2025-02-23,Hoffenheim,Stuttgart,1,1,D,0.0,1.0,A,3.5,1.95,3.9
207,2025-02-28,Stuttgart,Bayern Munich,1,3,A,1.0,1.0,D,4.75,1.65,4.2
208,2025-03-01,Bochum,Hoffenheim,0,1,A,0.0,0.0,D,2.4,2.8,3.6
209,2025-03-01,Heidenheim,M'gladbach,0,3,A,0.0,2.0,A,3.1,2.25,3.5
210,2025-03-01,RB Leipzig,Mainz,1,2,A,1.0,0.0,H,1.95,3.75,3.7
211,2025-03-01,St Pauli,Dortmund,0,2,A,0.0,0.0,D,4.1,1.83,3.8
212,2025-03-01,Werder Bremen,Wolfsburg,1,2,A,0.0,1.0,A,2.63,2.6,3.4
213,2025-03-01,Ein Frankfurt,Leverkusen,1,4,A,1.0,3.0,A,4.75,1.73,3.75
214,2025-03-02,Union Berlin,Holstein Kiel,0,1,A,0.0,1.0,A,1.57,5.25,4.33
215,2025-03-02,Augsburg,Freiburg,0,0,D,0.0,0.0,D,2.63,2.7,3.25
216,2025-03-07,M'gladbach,Mainz,1,3,A,0.0,1.0,A,2.6,2.7,3.3
217,2025-03-08,Bayern Munich,Bochum,2,3,A,2.0,1.0,H,1.11,19.0,9.5
218,2025-03-08,Dortmund,Augsburg,0,1,A,0.0,1.0,A,1.53,5.75,4.33
219,2025-03-08,Holstein Kiel,Stuttgart,2,2,D,1.0,1.0,D,5.75,1.53,4.33
220,2025-03-08,Leverkusen,Werder Bremen,0,2,A,0.0,1.0,A,1.27,11.0,5.75
221,2025-03-08,Wolfsburg,St Pauli,1,1,D,0.0,1.0,A,1.75,5.0,3.5
222,2025-03-08,Freiburg,RB Leipzig,0,0,D,0.0,0.0,D,2.55,2.7,3.3
223,2025-03-09,Ein Frankfurt,Union Berlin,1,2,A,1.0,0.0,H,1.73,4.5,4.0
224,2025-03-09,Hoffenheim,Heidenheim,1,1,D,1.0,0.0,H,1.75,4.33,4.0
225,2025-03-14,St Pauli,Hoffenheim,1,0,H,0.0,0.0,D,2.25,3.3,3.25
226,2025-03-15,Augsburg,Wolfsburg,1,0,H,0.0,0.0,D,2.55,2.75,3.3
227,2025-03-15,Mainz,Freiburg,2,2,D,1.0,0.0,H,1.95,4.1,3.3
228,2025-03-15,Union Berlin,Bayern Munich,1,1,D,0.0,0.0,D,8.5,1.36,5.0
229,2025-03-15,Werder Bremen,M'gladbach,2,4,A,2.0,2.0,D,2.35,2.8,3.6
230,2025-03-15,RB Leipzig,Dortmund,2,0,H,1.0,0.0,H,2.38,2.88,3.6
231,2025-03-16,Bochum,Ein Frankfurt,1,3,A,0.0,2.0,A,3.1,2.2,3.6
232,2025-03-16,Heidenheim,Holstein Kiel,3,1,H,1.0,0.0,H,2.0,3.75,3.5
233,2025-03-16,Stuttgart,Leverkusen,3,4,A,1.0,0.0,H,3.1,2.3,3.4
234,2025-03-28,Leverkusen,Bochum,3,1,H,1.0,1.0,D,1.22,12.0,6.5
235,2025-03-29,Bayern Munich,St Pauli,3,2,H,1.0,1.0,D,1.14,15.0,8.0
236,2025-03-29,Hoffenheim,Augsburg,1,1,D,0.0,0.0,D,2.35,3.1,3.3
